Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,exam_score,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,gender,race/ethnicity,parental level of education,lunch,test preparation course,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays
23.0,84.0,low,high,no,7.0,73.0,low,yes,0.0,low,medium,public,positive,3.0,no,high school,near,male,67,gp,f,17.0,u,gt3,t,3.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,female,group c,some college,standard,none,kw,kuwait,middleschool,g-02,a,it,f,father,50.0,65.0,33.0,39.5,yes,good,under-7
19.0,64.0,low,medium,no,8.0,59.0,low,yes,2.0,medium,medium,public,negative,4.0,no,college,moderate,female,61,gp,f,17.0,u,gt3,t,3.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,female,group c,some college,standard,none,kw,kuwait,middleschool,g-02,a,it,f,father,50.0,65.0,33.0,39.5,yes,good,under-7
24.0,98.0,medium,medium,yes,7.0,91.0,medium,yes,2.0,medium,medium,public,neutral,4.0,no,postgraduate,near,male,74,gp,f,17.0,u,gt3,t,3.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,female,group c,some college,standard,none,kw,kuwait,middleschool,g-02,a,it,f,father,50.0,65.0,33.0,39.5,yes,good,under-7
29.0,89.0,low,medium,yes,8.0,98.0,medium,yes,1.0,medium,medium,public,negative,4.0,no,high school,moderate,male,71,gp,f,17.0,u,gt3,t,3.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,female,group c,some college,standard,none,kw,kuwait,middleschool,g-02,a,it,f,father,50.0,65.0,33.0,39.5,yes,good,under-7
19.0,92.0,medium,medium,yes,6.0,65.0,medium,yes,3.0,medium,high,public,neutral,4.0,no,college,near,female,70,gp,f,17.0,u,gt3,t,3.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,female,group c,some college,standard,none,kw,kuwait,middleschool,g-02,a,it,f,father,50.0,65.0,33.0,39.5,yes,good,under-7
19.0,88.0,medium,medium,yes,8.0,89.0,medium,yes,3.0,medium,medium,public,positive,3.0,no,postgraduate,near,male,71,gp,f,17.0,u,gt3,t,3.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,female,group c,some college,standard,none,kw,kuwait,middleschool,g-02,a,it,f,father,50.0,65.0,33.0,39.5,yes,good,under-7
29.0,84.0,medium,low,yes,7.0,68.0,low,yes,1.0,low,medium,private,neutral,2.0,no,high school,moderate,male,67,gp,f,17.0,u,gt3,t,3.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,female,group c,some college,standard,none,kw,kuwait,middleschool,g-02,a,it,f,father,50.0,65.0,33.0,39.5,yes,good,under-7
25.0,78.0,low,high,yes,6.0,50.0,medium,yes,1.0,high,high,public,negative,2.0,no,high school,far,male,66,gp,f,17.0,u,gt3,t,3.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,female,group c,some college,standard,none,kw,kuwait,middleschool,g-02,a,it,f,father,50.0,65.0,33.0,39.5,yes,good,under-7
17.0,94.0,medium,high,no,6.0,80.0,high,yes,0.0,medium,low,private,neutral,1.0,no,college,near,male,69,gp,f,17.0,u,gt3,t,3.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,female,group c,some college,standard,none,kw,kuwait,middleschool,g-02,a,it,f,father,50.0,65.0,33.0,39.5,yes,good,under-7
23.0,98.0,medium,medium,yes,8.0,71.0,medium,yes,0.0,high,high,public,positive,5.0,no,high school,moderate,male,72,gp,f,17.0,u,gt3,t,3.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,female,group c,some college,standard,none,kw,kuwait,middleschool,g-02,a,it,f,father,50.0,65.0,33.0,39.5,yes,good,under-7
17.0,80.0,low,high,no,8.0,88.0,medium,no,4.0,medium,high,private,neutral,4.0,no,college,moderate,male,68,gp,f,17.0,u,gt3,t,3.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,female,group c,some college,standard,none,kw,kuwait,middleschool,g-02,a,it,f,father,50.0,65.0,33.0,39.5,yes,good,under-7
17.0,97.0,medium,high,yes,6.0,87.0,low,yes,2.0,low,high,private,neutral,2.0,no,high school,near,male,71,gp,f,17.0,u,gt3,t,3.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,11.0,female,group c,some college,standard,none,kw,kuwait,middleschool,g-02,a,it,f,father,50.0,65.0,33.0,39.5,yes,good,under-7
